Time stamp,State
2023-12-14 17:46:36,on
2023-12-14 17:49:14,off
2023-12-14 19:08:02,unavailable
2023-12-14 19:14:30,off
2023-12-14 20:42:12,on
2023-12-14 20:43:30,off
2023-12-14 21:55:12,on
2023-12-14 21:56:26,off
2023-12-14 22:13:05,on
2023-12-14 22:14:22,off
2023-12-14 23:12:06,on
2023-12-14 23:13:23,off
2023-12-14 23:16:27,unavailable
2023-12-15 05:38:29,off
2023-12-15 05:41:58,on
2023-12-15 05:43:06,off
2023-12-15 05:47:28,on
2023-12-15 05:48:33,off
2023-12-15 11:53:54,on
2023-12-15 11:57:45,off
2023-12-15 11:59:42,on
2023-12-15 12:00:58,off
