Time stamp,State
2023-12-12 13:25:43,on
2023-12-12 13:26:55,off
2023-12-12 15:54:44,on
2023-12-12 15:56:06,off
2023-12-12 18:17:42,on
2023-12-12 18:19:41,off
2023-12-12 18:38:48,on
2023-12-12 18:40:35,off
2023-12-12 18:40:56,on
2023-12-12 18:43:08,off
2023-12-12 21:52:50,on
2023-12-12 21:55:01,off
2023-12-13 05:53:39,on
2023-12-13 05:55:15,off
2023-12-13 07:20:15,on
2023-12-13 07:21:41,off
2023-12-13 08:37:28,on
2023-12-13 08:39:48,off
2023-12-13 09:02:56,on
2023-12-13 09:04:25,off
2023-12-13 09:53:03,on
2023-12-13 09:54:10,off
2023-12-13 09:55:17,on
2023-12-13 09:57:08,off
2023-12-13 10:10:03,on
2023-12-13 10:11:20,off
2023-12-13 11:28:31,on
2023-12-13 11:29:49,off
2023-12-13 12:48:46,on
2023-12-13 12:49:57,off
2023-12-13 13:03:09,on
2023-12-13 13:04:15,off
2023-12-13 13:17:00,on
2023-12-13 13:18:29,off
2023-12-13 13:21:22,on
2023-12-13 13:22:30,off
2023-12-13 13:22:41,on
2023-12-13 13:24:38,off
2023-12-13 15:54:36,on
2023-12-13 15:55:44,off
2023-12-13 18:26:59,on
2023-12-13 18:28:12,off
2023-12-13 18:42:06,on
2023-12-13 18:43:13,off
2023-12-13 19:43:20,on
2023-12-13 19:44:28,off
2023-12-13 20:36:11,on
2023-12-13 20:37:29,off
2023-12-13 21:34:30,on
2023-12-13 21:35:39,off
2023-12-13 21:36:39,on
2023-12-13 21:37:44,off
2023-12-13 21:41:19,on
2023-12-13 21:42:30,off
2023-12-13 21:43:23,on
2023-12-13 21:44:32,off
2023-12-13 22:34:26,on
2023-12-13 22:36:34,off
2023-12-14 05:47:40,on
2023-12-14 05:50:28,off
2023-12-14 06:48:49,on
2023-12-14 06:49:51,off
2023-12-14 09:03:58,on
2023-12-14 09:05:55,off
2023-12-14 11:10:48,on
2023-12-14 11:12:07,off
2023-12-14 11:12:25,on
2023-12-14 11:13:44,off
2023-12-14 11:18:34,on
2023-12-14 11:19:37,off
2023-12-14 11:22:30,on
2023-12-14 11:23:56,off
2023-12-14 11:34:27,on
2023-12-14 11:35:30,off
2023-12-14 11:50:09,on
2023-12-14 11:51:19,off
2023-12-14 12:20:11,on
2023-12-14 12:21:20,off
2023-12-14 13:24:10,on
2023-12-14 13:26:34,off
2023-12-14 15:50:59,on
2023-12-14 15:52:37,off
2023-12-14 17:50:04,on
2023-12-14 17:52:17,off
2023-12-14 18:20:34,on
2023-12-14 18:21:58,off
2023-12-14 19:08:02,unavailable
2023-12-14 19:14:30,off
2023-12-14 21:23:36,on
2023-12-14 21:24:58,off
2023-12-14 22:42:18,on
2023-12-14 22:44:01,off
2023-12-14 23:16:27,unavailable
2023-12-15 05:38:29,off
2023-12-15 05:47:42,on
2023-12-15 05:49:04,off
2023-12-15 05:51:33,on
2023-12-15 05:53:00,off
2023-12-15 08:31:27,on
2023-12-15 08:33:40,off
2023-12-15 09:25:17,on
2023-12-15 09:27:35,off
2023-12-15 11:50:49,on
2023-12-15 11:52:01,off
